"id","source","profileId","sessionId","heuristic","dataProcessingConsent","attentionCheckFailures","dataUsableForResearch","createdAt"
"dbc7b417-69f4-499d-af93-aecc401edb92","PROLIFIC","636ebb19aa1d1be8c41cc46e","63a27fc9e0f876d8fb39f640","CONTROL",True,0,True,"2022-12-21 03:38:58.674"
"14ece2d1-5b20-4431-bdb3-ff11822ac58d","PROLIFIC","57a7ead9275be6000135b6be","63a27f936a4319dbf20d5f0f","CONTROL",True,0,True,"2022-12-21 03:37:58.579"
"050e6e02-f0fc-4434-a37f-b727146ab3eb","PROLIFIC","5fb7dd473afbb1033b491811","63a27cf21e6c4be3853130fd","SENTIMENT",True,0,True,"2022-12-21 03:26:48.895"
"baa0223f-43a2-4864-ac9a-e049f79d88f7","PROLIFIC","61664d58d18ca2325a81008e","63a2801de7ef04f02d1e2809","SENTIMENT",True,0,True,"2022-12-21 03:40:14.967"
"1f64fdcf-f5e1-42ae-9a38-92cb1e740f8d","PROLIFIC","5fed6c9c0d786daf31f29f3d","63a27df482cd03db6692aafd","SENTIMENT",True,0,True,"2022-12-21 03:31:22.704"
"6968cf9d-bcf9-417c-b670-a6d1fa971528","PROLIFIC","616cda4e2f5f884cdd46b2eb","63a27d5c9b8d1abeaa48427d","POLITICAL",True,0,True,"2022-12-21 03:29:12.654"
"06c4f11b-ed29-4697-99d6-7dcdf89c3a4d","PROLIFIC","5b40ff8b3d066d0001609b63","63a27f6ccf9ec82e8f6148bc","TRUST",True,0,True,"2022-12-21 03:37:23.543"
"82ba2d1a-9e2c-45f4-8795-4fd5c001ed6a","PROLIFIC","5c86ce55f2d62e001975e0ad","63a27cc8f9c3d263a9223ef1","BIAS_GAUGE",True,0,True,"2022-12-21 03:26:08.812"
"6ac35187-56bc-4bae-9fbd-74ee2d46f225","PROLIFIC","60462db97d2336062f008d4a","63a27d11d4e0f0ecf6d9c2da","CONTROL",True,0,True,"2022-12-21 03:27:15.113"
"9c4e0968-2499-49a2-a9df-cf40d88adfad","PROLIFIC","5ec76194079cdc1b61767c3b","63a28022363756a572593eff","SENTIMENT",True,0,True,"2022-12-21 03:40:23.757"
"8690cffe-46a1-417f-810f-4a146dba7e8d","PROLIFIC","56ec9fa4f9ffc4000ac1941b","63a2802d95d5dc8959223f08","BIAS_HIGH",True,0,True,"2022-12-21 03:40:32.602"
"f42964b3-d68c-4220-a63a-11a09d001a42","PROLIFIC","575f6c823fc3ac000611dffa","63a27dde3ddae142f8f54cd9","BIAS_BAR",True,0,True,"2022-12-21 03:30:41.339"
"7baa9a40-f9e1-455f-9477-7c6b090b49e7","PROLIFIC","622e06e4046635b0eb64f103","63a28021153b1e0e5861484b","TRUST",True,0,True,"2022-12-21 03:40:27.851"
"d09662f5-b911-4177-99a1-34d49a8950c7","PROLIFIC","5ee09c1a0c2ad1027f541f53","63a2802c7e66bf0ff3eebe29","BIAS_BAR",True,0,True,"2022-12-21 03:40:33.51"
"10740bd7-ccb9-4160-99b2-92cd89b73acc","PROLIFIC","60fecaac6ada4383c646974c","63a27ed4ca6ef071d79caea9","BIAS_BAR",True,0,True,"2022-12-21 03:34:49.863"
"d6406eb6-8d40-4f00-a601-6157c3f1c8aa","PROLIFIC","61138937023e260faf9d04b4","63a27f68cf9ec82e8f6148bb","POLITICAL",True,0,True,"2022-12-21 03:39:44.929"
"dcba72e6-7eb5-4fb0-965b-d3293be2ceeb","PROLIFIC","5a726e526fc3c60001f976bb","63a27fc1f58b0b8030604087","CONTROL",True,0,True,"2022-12-21 03:38:48.949"
"7ec7b1e2-fdbb-4b2c-9dea-f4097b9533f4","PROLIFIC","600e06e28546f25be49539fa","63a27ffed4eca09fa900e7b9","BIAS_GAUGE",True,0,True,"2022-12-21 03:39:44.98"
"5df37e71-7f14-46c1-9584-4b6e022aa246","PROLIFIC","5e0f443e8205266652153f5e","63a27f26502b5d335b1e2861","CONTROL",True,0,True,"2022-12-21 03:36:09.545"
"ed9ba924-7623-46b0-bdd5-39abf6b7f1db","PROLIFIC","60ff1d61bce146e70eb2de28","63a27d9786a85ab7c47bfb67","BIAS_HIGH",True,0,True,"2022-12-21 03:32:29.566"
"a642712d-11e2-4c36-8ecc-31f923a3c9f9","PROLIFIC","60f36509e33b5a8da6a56bd7","63a27f063b1673295a00e81b","BIAS_HIGH",True,0,True,"2022-12-21 03:36:05.509"
"abd79dd5-1505-41c6-992f-f6fc4dc35b24","PROLIFIC","632bcf0f592b026e040d0f50","63a27f6695ac7e835e39f619","BIAS_HIGH",True,0,True,"2022-12-21 03:37:14.477"
"408d3f10-2223-4be3-a54e-c35754e8ffea","PROLIFIC","6103217087c7017449a039d8","63a27bc3da9a971405c848e1","BIAS_BAR",True,0,True,"2022-12-21 03:23:29.263"
"bb7191e6-8891-4e27-835f-d72c9dee7feb","PROLIFIC","5e2f131d0473500224f75035","63a27ec0c97fd0686d604088","CONTROL",True,0,True,"2022-12-21 03:34:30.562"
