"id","participantId","progress","createdAt"
"b5de2f6f-6478-436c-97e9-7be2cb6815fa","903418ce-0b6c-4c29-a972-446ac5092e34","INTRO_TASK_TWO_08","2022-12-21 02:42:15.986"
"1b8bac79-5f0d-4751-b953-defae3ae760e","7c3fa997-4365-4d49-8258-6f84cd1a9208","TASK_ONE_07","2022-12-21 02:42:20.322"
"004a6c7e-0114-4c87-8c8e-5e671a946f26","3b6f92c1-18a0-46b0-bc6b-74bde90f1192","END_11","2022-12-21 02:42:33.48"
"9b291dbd-2bd4-4e69-ae14-22b9e9ab7d5d","414dc63c-ba77-446f-acba-6a742afb23e3","END_11","2022-12-21 02:42:54.956"
"62c56998-e2fa-4725-81c0-985a76011125","14f9f009-ec0a-4ec4-b3ca-09472babadf6","TASK_ONE_07","2022-12-21 02:43:24.487"
"f0c3e19f-9267-4e89-89f9-8f88c0ebdf68","13af56c8-4af6-4d6d-adda-749f59618924","QUESTIONS_03","2022-12-21 02:43:26.047"
"f4e52c13-75b6-49e6-b37a-86a355d43f84","b436a666-e38e-4937-ac9a-d311670edfbb","TASK_ONE_07","2022-12-21 02:44:06.815"
"b1b9799f-91a4-4112-b6ab-e40ffdc5afbe","5d13704e-5ce8-46fe-b147-d247318917ec","QUESTIONS_03","2022-12-21 02:44:20.512"
"ec406606-3274-486e-94b0-d17d6b6a6e6e","13af56c8-4af6-4d6d-adda-749f59618924","INTRO_STUDY_04","2022-12-21 02:44:28.811"
"b1e7c19c-15e1-489c-8a09-55757f6bd581","45ae24c4-a1fa-4d22-835e-bf6dcc636d22","INTRO_TASK_TWO_08","2022-12-21 02:45:04.146"
"7bebf4fa-9f78-4768-b5b4-386a8613cf2a","13af56c8-4af6-4d6d-adda-749f59618924","TASK_ONE_07","2022-12-21 02:45:11.099"
"9e036cfa-1e9d-45b6-ac9f-9f274ce67a83","1b3d9d61-bff1-48c6-9cd7-4e681ee357f3","TASK_ONE_07","2022-12-21 02:45:14.734"
"a25ce76e-39b0-4ae3-a4e6-3834735d7333","bf9f9cfa-a052-4fd5-85f8-9525c5aaecad","END_11","2022-12-21 03:49:30.256"
"3742deb5-4f0a-48bb-bd51-98904a597cc3","9aca74d9-d80a-489d-b6cf-4d788fb42900","END_11","2022-12-21 03:49:30.486"
"d68b332c-de21-4110-81f3-dec2dc30467e","bc664b1b-29d4-45af-9430-b0becafb9f6e","QUESTIONS_03","2022-12-21 03:49:35.945"
"a884a1e6-2658-4d68-9a9a-076ef855bbab","238bf90f-e0f0-470a-baa9-82e471ea95a1","QUESTIONS_03","2022-12-21 03:49:36.256"
"c6bc5fd7-6550-492c-b578-f944ab193d75","917088d5-9e47-4a7f-bc4c-ca5355801f02","END_11","2022-12-21 03:49:37.299"
"615e8652-a47e-4865-a245-3d5b38dc9ee6","a5bfdb54-ad67-4692-a023-9a0e3bed183b","INTRO_STUDY_04","2022-12-21 03:49:39.097"
"f1769c0b-96bb-4936-b677-c79d078f629d","acb2e609-9395-4678-9f52-5ba161d1423f","INTRO_TASK_TWO_08","2022-12-21 03:49:40.426"
"a61ff9ef-7770-4ab5-a7f3-21c8693fed84","825621f3-8a38-4cf4-b1ae-04e1d97ff7b0","INTRO_TASK_TWO_08","2022-12-21 03:49:44.247"
"10ddb009-5f72-4bb2-8405-9f062769779a","8690cffe-46a1-417f-810f-4a146dba7e8d","INTRO_TASK_TWO_08","2022-12-21 03:49:44.956"
"0051ba5e-e481-4838-873b-285fcdc1560f","8c6cb02c-23c2-4f04-8a09-fa115a96951d","QUESTIONS_03","2022-12-21 03:49:46.044"
"a35d386d-20c1-4a26-bf30-a573ee8e70bd","72f48912-de1b-48b2-85f6-b512fe85d8bd","QUESTIONS_03","2022-12-21 03:49:46.061"
"2869e93c-8232-436d-9df1-df75fc2c87ad","1533ad57-caa9-40ba-be51-c0a00c526cc3","QUESTIONS_03","2022-12-21 03:49:47.091"
"13a8b1ae-1525-485c-8511-22b94a24e162","926ed46c-011a-4106-827f-54e843a300d1","INTRO_TASK_TWO_08","2022-12-21 03:49:51.39"
"542737c3-61a2-4aef-877f-c78faf45fada","251e12ad-9b99-4e69-a635-1610f2fd82b0","INTRO_STUDY_04","2022-12-21 03:49:52.312"
"bd64c03d-0d27-4cea-83c7-9025514f3d25","2375cc5b-9d82-4a58-a08f-62447609fb0b","INTRO_STUDY_04","2022-12-21 03:49:53.18"
"a6bd0200-77fd-499c-af54-5ee58b3fa836","c74d9ea5-80b6-44f8-b6e2-b4809170e2d5","END_11","2022-12-21 03:49:53.623"
"6b8c3978-c255-4105-8298-0349a113071b","673e7e34-17c9-4faa-9c93-2893f08d6fcb","QUESTIONS_03","2022-12-21 03:49:57.37"
"bd65728c-cdd8-4097-b934-71a6f15f0aff","a67c6ec2-c299-4fbd-a9e1-fd2f495cb66a","QUESTIONS_03","2022-12-21 03:50:02.103"
"01333478-8d72-4fd1-bbdd-ceabb4b88891","63a8427f-3bf7-45f4-8358-851211eb18c1","INTRO_TASK_TWO_08","2022-12-21 03:50:04.429"
"9dd67ab2-9441-4046-9bf6-526543940834","ba735214-81c2-49de-9f52-007feebf7aa5","QUESTIONS_03","2022-12-21 03:50:05.317"
"f60b6cb0-203d-45ac-9055-4dbd0a08ed47","f1c234ed-3f51-4e2a-a667-628b5f6b0c71","END_11","2022-12-21 03:50:09.691"
"c668facc-bd05-4d25-bfd1-a69e7aef32f6","5cf4dd9f-9ded-484e-b617-d6e14800b1a7","INTRO_STUDY_04","2022-12-21 03:50:15.393"
"7677e0ea-c920-40e5-918c-099d396321cc","0ddda046-5947-4395-a112-87dacb8d0155","QUESTIONS_03","2022-12-21 03:50:19.609"
"91a70338-a4dd-47d2-942d-bd17dbe94c95","2375cc5b-9d82-4a58-a08f-62447609fb0b","TASK_ONE_07","2022-12-21 03:50:22.604"
"62bd5110-f607-4f9c-a3a6-c0475d2487e6","43f7567b-4e42-40f4-b005-9e0265670f04","END_11","2022-12-21 03:50:27.769"
"1ac63515-742e-4c9d-9824-2e9b74e28bd6","7377466d-fc42-4df1-9429-07886768cd10","INTRO_STUDY_04","2022-12-21 03:50:28.426"
"daa265f1-d9ea-498f-b686-74f4beae59f9","0a639cff-ef49-4d80-bd36-13111420b377","QUESTIONS_03","2022-12-21 03:50:29.505"
"7a0e9531-e94f-4acd-ba59-8160a403ba97","7e1c5a5e-0a3b-44ba-a3b9-31fb7c5b9ad9","QUESTIONS_03","2022-12-21 03:50:31.885"
"54921f09-d420-43a1-8aaf-6c882477628b","a5bfdb54-ad67-4692-a023-9a0e3bed183b","TASK_ONE_07","2022-12-21 03:50:32.504"
"94a98a8c-b116-4b96-b5c7-dca46b4606fb","ba735214-81c2-49de-9f52-007feebf7aa5","INTRO_STUDY_04","2022-12-21 03:50:40.112"
"cf0cf9f8-cfd9-44b5-a498-95cfa0f1c29d","5a126b59-c1c6-41ed-8304-58b6ebb20915","INTRO_STUDY_04","2022-12-21 03:50:43.039"
"ec4081a3-6854-40be-adb2-866b11604354","ba735214-81c2-49de-9f52-007feebf7aa5","TASK_ONE_07","2022-12-21 03:50:49.264"
"fb9f1d89-ed4d-405f-83c4-746a68b5ce6b","1533ad57-caa9-40ba-be51-c0a00c526cc3","INTRO_STUDY_04","2022-12-21 03:50:49.948"
"f5277429-f7ef-4867-88de-c86c537115b8","c2cd4ff6-b483-445f-a342-c2d64b90f8a1","END_11","2022-12-21 03:50:52.307"
"c9068b31-a12e-46bd-a00c-f850392e045d","d7ec842a-c442-4842-b014-682d309781fe","QUESTIONS_03","2022-12-21 03:50:53.358"
"b8a07610-cfe4-427d-963a-1b23b33f4008","088dff32-733b-49e2-a921-c4f0abdeb78a","TASK_ONE_07","2022-12-21 03:50:53.435"
"168876a7-1969-41dd-a939-b6fde1ecce1f","8c6cb02c-23c2-4f04-8a09-fa115a96951d","INTRO_STUDY_04","2022-12-21 03:50:58.053"
"f18938cf-9193-4e8b-97d1-f065d98c9fc5","9d1e1fde-babd-42bf-a400-04c5fff771ee","END_11","2022-12-21 03:50:58.371"
"ab906d6f-a714-4c51-ab6e-1788caea1f8e","7ec7b1e2-fdbb-4b2c-9dea-f4097b9533f4","INTRO_TASK_TWO_08","2022-12-21 03:50:59.509"
"428a7004-25b7-4815-a524-671ac6de5382","bc664b1b-29d4-45af-9430-b0becafb9f6e","INTRO_STUDY_04","2022-12-21 03:51:01.713"
"93837798-3e31-4717-82d3-2002d0e29408","0a639cff-ef49-4d80-bd36-13111420b377","INTRO_STUDY_04","2022-12-21 03:51:03.566"
"5f75bc6f-efaf-431e-917e-c4394e056c2f","a67c6ec2-c299-4fbd-a9e1-fd2f495cb66a","INTRO_STUDY_04","2022-12-21 03:51:05.547"
"3608a580-5e4f-4019-b08c-048893afefe8","10740bd7-ccb9-4160-99b2-92cd89b73acc","INTRO_TASK_TWO_08","2022-12-21 03:51:05.707"
"d95fbccb-c0ba-4b62-ba17-2a3efd23558e","6114919e-5531-4e51-a7e4-2ffca65fb5e7","INTRO_TASK_TWO_08","2022-12-21 03:51:08.247"
"0aed24b1-5131-446b-9787-cbd8c1cacc88","72f48912-de1b-48b2-85f6-b512fe85d8bd","INTRO_STUDY_04","2022-12-21 03:51:09.995"
"ba76d895-341f-4836-80e5-cd40c09dc6be","0a639cff-ef49-4d80-bd36-13111420b377","TASK_ONE_07","2022-12-21 03:51:11.207"
"e50b7e56-0e2b-429d-ad16-05497b32b3fc","29f34d6d-9750-433f-98f9-75e1821fcc64","END_11","2022-12-21 03:51:11.652"
"8723dc15-b380-43c9-9461-a1192646b101","673e7e34-17c9-4faa-9c93-2893f08d6fcb","INTRO_STUDY_04","2022-12-21 03:51:12.998"
"ac66208a-388f-4caf-a050-dbcfd1a02f44","0ddda046-5947-4395-a112-87dacb8d0155","INTRO_STUDY_04","2022-12-21 03:51:22.334"
"86bdbc38-d684-47bf-adc4-a3c9663366ac","d6406eb6-8d40-4f00-a601-6157c3f1c8aa","INTRO_TASK_TWO_08","2022-12-21 03:51:31.782"
"d953a9ff-ec8c-4000-b1f7-f210a74e9a72","1b3d9d61-bff1-48c6-9cd7-4e681ee357f3","START_01","2022-12-21 02:38:41.469"
"c4dbff41-f1e2-45da-aadc-68a83a92f7a6","7c3fa997-4365-4d49-8258-6f84cd1a9208","START_01","2022-12-21 02:38:46.542"
"1621c7b7-f854-44b4-b756-05e85b4933c6","1b3d9d61-bff1-48c6-9cd7-4e681ee357f3","DATA_PROCESSING_02","2022-12-21 02:38:54.341"
"3c9093aa-edfd-4d4e-9578-1b6a0dd85268","7c3fa997-4365-4d49-8258-6f84cd1a9208","DATA_PROCESSING_02","2022-12-21 02:38:55.005"
"de0e151d-3c7a-4faa-a916-9f154c810d24","b436a666-e38e-4937-ac9a-d311670edfbb","START_01","2022-12-21 02:39:24.73"
"12b754a5-6ab4-4eff-8d97-d181a23b3b34","b436a666-e38e-4937-ac9a-d311670edfbb","DATA_PROCESSING_02","2022-12-21 02:39:31.282"
"96a72209-137a-438f-96d5-d7fa28c19a65","b436a666-e38e-4937-ac9a-d311670edfbb","INTRO_BIAS_05","2022-12-21 02:40:37.474"
"6ffbdbd7-3d0e-487f-9b91-be4067c66c21","14f9f009-ec0a-4ec4-b3ca-09472babadf6","INTRO_BIAS_05","2022-12-21 02:41:15.483"
"fed185cd-a589-4263-886c-3d07f18fca29","1b3d9d61-bff1-48c6-9cd7-4e681ee357f3","INTRO_BIAS_05","2022-12-21 02:41:24.367"
"9bcc12ee-3693-4049-8f24-7be88a895f45","7c3fa997-4365-4d49-8258-6f84cd1a9208","INTRO_BIAS_05","2022-12-21 02:41:36.031"
"96d7c058-e598-4160-9600-5d53e7b3bcb8","7c3fa997-4365-4d49-8258-6f84cd1a9208","ATTENTION_CHECK_06","2022-12-21 02:42:07.149"
"cf2358e6-43f4-44be-8e72-f5bfc1b50aa1","903418ce-0b6c-4c29-a972-446ac5092e34","TASK_TWO_09","2022-12-21 02:42:22.478"
"1bddc187-6010-4885-97e8-64bea3d3a4bc","3b6f92c1-18a0-46b0-bc6b-74bde90f1192","TRUST_CHECK_10","2022-12-21 02:42:22.704"
"9d13ccf6-5b5b-4f8e-b0ea-7257947f3bd6","414dc63c-ba77-446f-acba-6a742afb23e3","TRUST_CHECK_10","2022-12-21 02:42:48.003"
"96579aa6-d644-4996-bd70-ed71b00cc3e7","14f9f009-ec0a-4ec4-b3ca-09472babadf6","ATTENTION_CHECK_06","2022-12-21 02:43:07.807"
"c338d0a3-1d47-4571-b61b-ca098e7c8577","13af56c8-4af6-4d6d-adda-749f59618924","START_01","2022-12-21 02:43:15.309"
"59454cf0-95ce-4371-bacf-c82f2c20e7e9","13af56c8-4af6-4d6d-adda-749f59618924","DATA_PROCESSING_02","2022-12-21 02:43:18.109"
"2d04928f-ac79-478d-9c35-9dde83c15cfd","b436a666-e38e-4937-ac9a-d311670edfbb","ATTENTION_CHECK_06","2022-12-21 02:43:45.543"
"9668de6a-f699-4929-8579-2eef59f0c97a","5d13704e-5ce8-46fe-b147-d247318917ec","START_01","2022-12-21 02:44:07.434"
"7332455d-fd11-432a-a5a6-d71354aa3be7","5d13704e-5ce8-46fe-b147-d247318917ec","DATA_PROCESSING_02","2022-12-21 02:44:15.037"
"40d6a349-742a-4bc8-abd3-07d041bd5bd5","13af56c8-4af6-4d6d-adda-749f59618924","INTRO_BIAS_05","2022-12-21 02:44:34.952"
"94c612e0-7e6d-4f4c-b21d-0fe8f35f031e","13af56c8-4af6-4d6d-adda-749f59618924","ATTENTION_CHECK_06","2022-12-21 02:44:57.349"
"2b3a45ca-ee50-4bb8-89d8-599f36310cb1","1b3d9d61-bff1-48c6-9cd7-4e681ee357f3","ATTENTION_CHECK_06","2022-12-21 02:45:12.188"
"3b88a488-0c26-4088-a408-086a05deca44","45ae24c4-a1fa-4d22-835e-bf6dcc636d22","TASK_TWO_09","2022-12-21 02:45:15.097"
"f362cb99-b4a4-4654-930d-b6ef20f90751","5d13704e-5ce8-46fe-b147-d247318917ec","INTRO_STUDY_04","2022-12-21 02:45:51.853"
"c2db298e-0dd5-4c44-bed5-bf9b6b0f8513","5d13704e-5ce8-46fe-b147-d247318917ec","INTRO_BIAS_05","2022-12-21 02:45:59.67"
"48797e86-a975-4ccb-b246-c8519cd830d8","282e6896-92cc-4052-8876-62741544b956","START_01","2022-12-21 02:46:33.581"
"5208cfb7-7846-4a1f-89c5-2275cbceefe4","282e6896-92cc-4052-8876-62741544b956","DATA_PROCESSING_02","2022-12-21 02:46:40.871"
